name,sku,cas_number,molecular_formula,descript_table,categories
"
FastGlycoProtein Isolation Kit, ConA Resin, 1 kit, 10 Preps",116550800,"
1 Kit ",Not Found,"
SKU ,
116550800 ,
Alternate Names ,
FastGlycoProtein™ Isolation Kit ConA Resin ,
Application Notes ,
Used to isolate Glycoprotein from complex protein mixtures including animal and plant tissue, cultured cells as well as microbe and insect, using the lectin concanavalin A (ConA) immobilized on agarose. ,
Base Catalog Number ,
6550800 ,
Capacity ,
Samples containing up to 1.5 mg protein ,
Components ,
Lysing Matrix A 10 x2 mL Tubes, Garnet matrix and 1/4 inch ceramic spheres, ConA Lectin Resin 1.1 mL settled, as slurry, Binding/Wash Buffer. 5X solution 6.5 mL, Elution Solution 5 mL, Spin Filter with caps 10 each, Catch Tubes 20 each. ,
FastPrep Instruments Models ,
ConeFlex Legacy (allows all FP24 adapters on FP96), CoolPrep (24x2 mL), HiPrep (48x2 mL), QuickFlex (96x2 mL), QuickPrep (24x2 mL) ,
Hardness ,
Zirconium sphere, Rockwell A 80-84, Vickers 1050; Garnet Flakes, Mohs 7.5-8 ,
Pack Size ,
1 Kit ,
Sample Type ,
Animal and plant tissue, Cultured cells as well as microbe and insect ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Sample Preparation"
"
FastGlycoProtein Isolation Kit, WGA Resin, 1 kit, 10 Preps",116550900,"
1 Kit ",Not Found,"
SKU ,
116550900 ,
Alternate Names ,
FastGlycoProtein™ Isolation Kit WGA Resin ,
Application Notes ,
Used to isolate Glycoprotein from complex protein mixtures including animal and plant tissue, cultured cells as well as microbe and insect, using the lectin Wheat Germ Agglutinin (WGA) immobilized on agarose. ,
Base Catalog Number ,
6550900 ,
Capacity ,
Samples containing up to 1.5 mg protein ,
Components ,
Lysing Matrix A 10 x2 mL Tubes, Garnet matrix and 1/4 inch ceramic spheres, WGA Lectin Resin 1.1 mL settled, as slurry, Binding/Wash Buffer. 5X solution 6.5 mL, Elution Solution 5 mL, Spin Filter with caps 10 each, Catch Tubes 20 each. ,
FastPrep Instruments Models ,
ConeFlex Legacy (allows all FP24 adapters on FP96), CoolPrep (24x2 mL), HiPrep (48x2 mL), QuickFlex (96x2 mL), QuickPrep (24x2 mL) ,
Hardness ,
Zirconium sphere, Rockwell A 80-84, Vickers 1050; Garnet Flakes, Mohs 7.5-8 ,
Pack Size ,
1 Kit ,
Sample Type ,
Animal and plant tissue, Cultured cells as well as microbe and insect ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Sample Preparation"
"
FastProtein™ Blue Matrix",116550400-CF,Not Found,Not Found,"
SKU ,
116550400-CF ,
Application Notes ,
Designed for extraction of protein from bacterial cultures. ,
Base Catalog Number ,
6550400,6550500 ,
Components ,
Contains 2mL tubes of Lysing Matrix B which contain 0.1mm silica (glass) and protocol for protein isolation of bacteria. ,
FastPrep Instruments Models ,
ConeFlex™ Legacy (allows all FastPrep-24™ adapters to be used on the FastPrep-96™.), CoolPrep™ (24x2 mL), HiPrep™ (48x2 mL), QuickFlex™ (96x2 mL), QuickPrep™ (24x2 mL) ,
Hardness ,
Knoop 515 ,
Personal Protective Equipment ,
If working with biological, toxic, hazardous or infectious samples use hand protection (latex, nitrile or other plastic material gloves), skin and body protection (labcoat and sleeves) and eye protection (safety glasses with side-shields). Handle in accordance with good industrial hygiene and safety practice. ,
Sample Volume ,
up to 200 mg per prep ,
Specific Gravity ,
2.55 ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Sample Preparation"
"
Protease inhibitor cocktail kit, 1 kit",0215883701,"
200-664-3 ","
MFCD00677817 ","
SKU ,
0215883701 ,
Application Notes ,
Protease Inhibitor Cocktail Kit contains inhibitors with a broad specificity for serine, cysteine, and acid proteases, and aminopeptidases. It has been tested on a wide variety of cells and tissue extracts to isolate/maintain intact proteins without degradation. ,
Base Catalog Number ,
15883701 ,
Biochemical Physiological Actions ,
Proteases are enzymes which direct their action upon proteins, cleaving their targets into smaller fragments consisting of polypeptides, peptides and amino acids. There are a myriad of proteases active against practically all proteins. Some proteases are quite specific, while others cleave many different proteins. MP Protease Inhibitor Cocktail covers a broad spectrum of protese inhibitors. ,
CAS # ,
Not applicable ,
Components ,
193503-AEBSF(40 mg), 151553- Leupeptin (0.1 mg), 195368- Pepstatin(0.1 mg),195173- EDTA-Na2(500 mg) ,
EC Number ,
200-664-3 ,
Hazard Statements ,
Class 8 ,
Pack Size ,
1 kit ,
Preparation Method ,
Place the contents of all four vials in one volumetric flask or other suitable container. Add water or buffer of choice to 100 mL. More concentrated solutions can be prepared as desired; however, leupeptin and pepstatin A will create more of a suspension at concentrations other than the suggested amount. The prepared solution is stable for 60-90 days when stored at 5 °C. Do not freeze the prepared solution, and avoid repeated freeze-thaw cycles. ,
Typical Working Concentration ,
Typical working concentration for 100 mL of inhibitor cocktail: AEBSF Hydrochloride:50-400 mg/mL; EDTA disodium dihydrate:0.2-25 mg/mL; Leupeptin Hemisulfate: 0.5-1 mg/mL; Pepstatin A: 0.5-1 mg/mL ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Sample Preparation"
"
Dome rubber gasket",116002507,Not Found,Not Found,"
SKU ,
116002507 ,
Base Catalog Number ,
6002507 ,
Pack Size ,
1 each ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Sample Preparation,FastPrep Bead Beating Systems,Bead Beaters Spare Parts & Services"
"
Dome for FastPrep-24™ 5G",116005506,Not Found,Not Found,"
SKU ,
116005506 ,
Base Catalog Number ,
6005506 ,
Pack Size ,
1 each ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Sample Preparation,FastPrep Bead Beating Systems,Bead Beaters Spare Parts & Services"
"
QuickPrep™ adapter for 24 x 2 mL tube holder for FastPrep-24",116005512,Not Found,Not Found,"
SKU ,
116005512 ,
Application Notes ,
Adapter for FastPrep-24 Instruments to grind, lyse, homogenize 24 x 2 mL samples. ,
Base Catalog Number ,
6005512 ,
FastPrep Instruments Models ,
FastPrep-24 ,
Pack Size ,
1 each ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Sample Preparation,FastPrep Bead Beating Systems,Adapters for Bead Beating Instruments"
"
Lock pins for dome locking",116002509,Not Found,Not Found,"
SKU ,
116002509 ,
Base Catalog Number ,
6002509 ,
Pack Size ,
1 each ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Sample Preparation,FastPrep Bead Beating Systems,Bead Beaters Spare Parts & Services"
"
Ratchet nut for FastPrep-24™ Classic and FastPrep-24™ 5G",116004510,Not Found,Not Found,"
SKU ,
116004510 ,
Application Notes ,
Replacement securing knob used to lock the adapter on 3 step assembly. ,
Base Catalog Number ,
6004510 ,
FastPrep Instruments Models ,
All FastPrep Adapters ,
Pack Size ,
2 each ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Sample Preparation,FastPrep Bead Beating Systems,Bead Beaters Spare Parts & Services"
"
QuickPrep™ adapter for 24 x 2 mL on FastPrep-24",116002512,"
2 mL ",Not Found,"
SKU ,
116002512 ,
Application Notes ,
Adapter for FastPrep-24 Instruments to grind, lyse, homogenize 24 x 2 mL samples. ,
Base Catalog Number ,
6002512 ,
Capacity ,
24 Tubes ,
FastPrep Instruments Models ,
FastPrep-24 ,
Melting Point ,
220-250°C ,
Pack Size ,
2 mL ,
Personal Protective Equipment ,
Personal-protective-equipment: If working with biological, toxic, hazardous or infectious samples; Hand protection: Latex, Nitrile or other plastic material gloves. Skin and body protection: Labcoat and sleves. Eye protection: Safety glasses with side-shields Hygiene measures: Handle in accordance with good industrial hygiene and safety practice. ,
Sample Volume ,
up to 5 g ,
Specific Gravity ,
1.10 gm/cm3 ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Sample Preparation,FastPrep Bead Beating Systems,Adapters for Bead Beating Instruments"
"
Cam lock",116005588,Not Found,Not Found,"
SKU ,
116005588 ,
Base Catalog Number ,
6005588 ,
Pack Size ,
1 each ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Sample Preparation,FastPrep Bead Beating Systems,Bead Beaters Spare Parts & Services"
"
Ratchet nut v3.0, blue",116005510,Not Found,Not Found,"
SKU ,
116005510 ,
Base Catalog Number ,
6005510 ,
Pack Size ,
1 each ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Sample Preparation,FastPrep Bead Beating Systems,Bead Beaters Spare Parts & Services"
"
Dome clip for FastPrep-24™ Classic",116002508,Not Found,Not Found,"
SKU ,
116002508 ,
Application Notes ,
FastPrep-24 Classic replacement dome clip. ,
Base Catalog Number ,
6002508 ,
Pack Size ,
1 each ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Sample Preparation,FastPrep Bead Beating Systems,Bead Beaters Spare Parts & Services"
"
FastProtein™ Red Matrix",116550600-CF,Not Found,Not Found,"
SKU ,
116550600-CF ,
Application Notes ,
Designed for rapid isolation and purification of protein from yeast, algea and fungi cultures. The process is designed to be a small scale test for protein induction. ,
Base Catalog Number ,
6550600,6550700 ,
Components ,
Contains 2.0 mL tubes of Lysing Matrix C containing 1.0mm silica spheres, 250 mL of protein isolation buffer and protocol for protein isolation from yeast and fungi. ,
FastPrep Instruments Models ,
ConeFlex™ Legacy (allows all FastPrep-24™ adapters to be used on the FastPrep-96™.), CoolPrep™ (24x2 mL), HiPrep™ (48x2 mL), QuickFlex™ (96x2 mL), QuickPrep™ (24x2 mL) ,
Hardness ,
Mohs 5-6 ,
Personal Protective Equipment ,
If working with biological, toxic, hazardous or infectious samples use hand protection (latex, nitrile or other plastic material gloves), skin and body protection (labcoat and sleeves) and eye protection (safety glasses with side-shields). Handle in accordance with good industrial hygiene and safety practice. ,
Sample Volume ,
up to 200 mg per prep ,
Specific Gravity ,
2.55 ,
Usage Statement ,
Unless specified otherwise, MP Biomedical's products are for research or further manufacturing use only, not for direct human use. For more information, please contact our customer service department. ","Life Sciences,Sample Preparation"
